title,description,start_date,place,number_of_deaths,causes_of_violence,sources_of_information,lga
"Gunmen vs Security Operatives, Anambra",IPOB/ESN: 4 soldiers and a civilian were killed by gunmen who invaded a community. It was reported that the gunmen stormed the area during the day and opened fire on the soldiers.,2022-09-27T23:00:00.000Z,Umunze community,5,"political issue, crime","Other newspaper 3 (4 ) , The Guardian (3 ) , Vanguard (6 ) , The Nation (8 ) , Other newpapers 1 (5 )",Orumba South
"Bandits vs Farmer, Kaduna",A farmer was killed by rampaging bandits who invaded some communities. It was reported that the bandits have been terrorizing the communities for a long time.,2022-09-27T23:00:00.000Z,Jangali and Kwaga areas,1,crime,"Other newspaper 3 (1 ) , Daily Trust (1 )",Birnin-Gwari
"Banditry, Kaduna","1 person identified as Oluwakemi Isreal Oluwatosin was killed and 3 others, Douglas Silas, Treasure Yohanna Victor, and Precious Oderinde were kidnapped by some bandit who invaded a community.",2022-09-27T23:00:00.000Z,Wusasa Area,1,crime,Daily Trust (1 ),Zaria
"Gunmen vs Army, Imo",IPOB/ESN: 2 gunmen and 1 soldier were killed during a gun duel. The incident happened when about 15 gunmen swooped on a military checkpoint. The gunmen made away with one General Purpose Machine Gun (GPMG).,2022-09-27T23:00:00.000Z,Mgbidi,3,political issue,Other newpapers 1 (3 ),Orsu
"Terrorists vs Soldiers, Zamfara",3 soldiers including Major Emos were killed while another soldier was injured by bandits during an ambush on a vehicle. The military personnel got intelligence information that the bandits were planning to attack a village and were on their way to foil the attack when they were ambushed.,2022-09-27T23:00:00.000Z,Near Dolen-Kaura Village,3,crime,The Punch (3 ),Kaura Namoda
"Vigilantes vs Bandits, Zamfara","The vigilante group of Kanoma town, in conjunction with vigilantes, killed 31 bandits. They got the information that the bandits were planning to attack the town and quickly mobilized the vigilantes from the neighbouring communities.",2022-09-26T23:00:00.000Z,Kanoma town,31,crime,"The Punch (31 ) , Daily Trust (31 )",Maru
"Bandits vs Police, Katsina",A policeman identified as Inspector Idris Musa was killed by rampaging bandits who ambushed a security outpost. It was reported that the bandits also abducted several passengers plying the road and moved them into a forest.,2022-09-25T23:00:00.000Z,Makera village along the Katsina-Jibia road,1,crime,"The Guardian (1 ) , Daily Trust (1 )",Katsina LGA
"Army vs ISWAP, Yobe",Troops of Operation Hadin Kai killed many fighters of the Islamic State in West African Province (ISWAP) in clearance operations. The terrorists met their waterloo when they gathered to carry out an attack on troops.,2022-09-25T23:00:00.000Z,Wulle area,40,"political issue, religious issue","Nigerian Tribune (40 ) , Daily Trust (40 ) , The Punch (40 )",Gujba
"Bandits Kill Lecturer and Village Head, Adamawa","Joram Bengo, a lecturer with the Federal College of Education (FCE) Yola, was kidnapped after he delivered a ransom of N2 million to secure the release of Sallau Manu, the village head. It was reported that the terrorists murdered both the village head and Bengo after collecting a ransom of N7 million.",2022-09-24T23:00:00.000Z,Bengo,2,crime,Nigerian Tribune (2 ),Fufore
"Banditry, Zamfara",3 persons were killed and 8 nursing mothers were kidnapped by some terrorists who invaded a community. It was reported that the bandits stormed the community on motorcycles and started shooting sporadically into the air to scare people away.,2022-09-24T23:00:00.000Z,Tauji area of Kanoma North,3,crime,The Punch (3 ),Maru
"Banditry, Plateau",A man identified as Mapack Linus was killed by bandits who attacked residents. The attackers were reportedly targeting vigilante members frustrating their activities.,2022-09-24T23:00:00.000Z,Jannaret town,1,crime,The Punch (1 ),Mangu
"Banditry, Kaduna",2 persons identified as Sanusi Zubairu and Kabiru Zubairu were killed and 12 others were kidnapped by some bandits who invaded a community. It was reported that the bandits also looted some shops in the community during the attack.,2022-09-23T23:00:00.000Z,Hayin Gada of Damari Community in Kazage Wards,2,crime,"Nigerian Tribune (2 ) , The Punch (2 ) , Vanguard (2 )",Birnin-Gwari
"Banditry, Zamfara","11 people, mostly worshippers, were killed and others injured by some terrorists who attacked a mosque. It was reported that the incident happened when the bandits stormed the area and went straight to the community's central mosque where people gather for the Juumat prayers.",2022-09-22T23:00:00.000Z,A mosque in Ruwan Jema Community,15,crime,"Other newspaper 3 (11 ) , Nigerian Tribune (15 ) , The Nation (15 ) , Daily Trust (18 ) , The Punch (18 )",Bukkuyum
"Hoodlums vs Police, Edo",A police officer was killed and an operational burnt by some bandits in an ambush. The attack was believed to be a reprisal attack on the security operatives for an earlier incident (See incident in IBD024844).,2022-09-21T23:00:00.000Z,Ibillo-Igarra Road Junction,1,crime,"Nigerian Tribune (1 ) , The Punch (1 )",Akoko-Edo
"Air Force vs Terrorists, Zamfara",Operatives of the Nigerian Air Force killed 50 bandits who were terrorising residents. The incident happened during clearance operations.,2022-09-21T23:00:00.000Z,Zurmi,40,crime,"Daily Trust (40 ) , The Punch (40 )",Zurmi
"Army vs Boko Haram, Borno",Troops of the Nigerian Army killed 7 Boko Haram insurgents. The terrorists were neutralized in an ambush by 73 battalion in collaboration with the Civilian Joint Task Force (CJTF).,2022-09-19T23:00:00.000Z,Kayamla village,7,"political issue, religious issue","The Guardian (7 ) , Daily Trust (7 ) , The Punch (7 )",Konduga
"Banditry, Katsina","Gunmen, who struck in the early hours of the day in a community, killed 2 people and abducted 3 others. One of the victims was a member of the Vigilante Group of Nigeria (VGN).",2022-09-17T23:00:00.000Z,Shagari Low Cost,2,crime,Daily Trust (2 ),Dutsin-Ma
"Bandits vs Children, Niger","5 people, including 4 children between the ages of 1 and 5, were killed by bandits who invaded a village. It was reported that the attackers also kidnapped 15 other people during the operation.",2022-09-17T23:00:00.000Z,Fapo village,5,crime,"Daily Trust (5 ) , The Punch (4 )",Lapai
"Bandits vs Driver, Katsina",Bandits shot dead a commercial driver and also abducted an unspecified number of passengers. The victims were moving from one community to another raiding households before they intercepted the vehicle.,2022-09-17T23:00:00.000Z,Funtua-Dandume,1,crime,Daily Trust (1 ),Funtua
"Army vs IPOB/ESN, Imo","A Major of the Nigerian Army lost his life in an explosion planted by some gunmen suspected to be IPOB members. Two captains were severely injured. Reprisal attacks by soldiers led to the killing of other people. Due to the nature of the incident, it is assumed that 5 people were killed by the soldiers.",2022-09-16T23:00:00.000Z,Eke-Ututu,4,,"Other newspaper 2 (6 ) , Vanguard (6 ) , Nigerian Tribune (1 )",Orsu
"Army vs Bandits, Zamfara","Several bandits, including their wives and children, were decimated during airstrikes by the fighter jets of the Nigerian Air Force. The incident happened when they gathered at the home of a notorious bandit known as Turji for the naming ceremony of a baby born to the family.",2022-09-16T23:00:00.000Z,Fakai,34,crime,"Daily Trust (40 ) , The Nation (40 ) , The Punch (22 )",Shinkafi
"ISWAP vs Boko Haram, Borno","Power Tussle: Several Boko Haram fighters including 2 commanders, Abou Hamza and Abou Ibrahim, were killed by the Islamic West Africa Province (ISWAP) fighters. It was reported that the incident happened when the terrorists were ambushed in their hideout by the ISWAP fighters who stormed their camp.",2022-09-16T23:00:00.000Z,Gaizuwa Community,25,"religious issue, political issue",The Guardian (25 ),Bama
"Army vs Boko Haram, Borno",36 Boko Haram terrorists were decimated by troops of Operation Hadin Kadin in airstrikes. 2 top commanders identified as Abu Asiya and Abu Ubaida (A'Quaida) were among those killed.,2022-09-14T23:00:00.000Z,Parisu and Sheruri in Sambisa forest axis,36,"political issue, religious issue","The Nation (36 ) , The Guardian (36 )",Gwoza
"Bandits vs Businessman, Katsina",A businessman identified as Tukur Makeri was killed by some bandits who attacked a community. It was reported that the bandits also kidnapped several residents.,2022-09-14T23:00:00.000Z,Bakiyawa,1,crime,"Vanguard (1 ) , Daily Trust (1 ) , The Punch (1 )",Batagarawa
"Army vs IPOB/ESN, Enugu","A combined team of security operatives raided the camp of the Indigenous People of Biafra and killed many of the members. It was reported that the operatives destroyed the camp. Due to the nature of the story, it is assumed that 10 of the victims were killed.",2022-09-14T23:00:00.000Z,Akpawfu Community,10,political issue,"The Guardian (10 ) , Other newpapers 1 (10 )",Nkanu East
"Bandits vs Vigilante, Niger",1 vigilante member was killed and 1 other sustained injuries when gunmen invaded a village. It was reported that the gunmen stormed the village and went straight to the vigilante office where they attacked them. It was also reported that several villagers were also abducted by the gunmen.,2022-09-13T23:00:00.000Z,Ebbo Community,1,crime,"Daily Trust (1 ) , Nigerian Tribune (1 ) , Vanguard (1 )",Lapai
"ATF Troops vs ISWAP, Borno",Several Boko Haram terrorist fighters including 3 commanders were killed by the Air Task Force (ATF) of Operation Hadin Kai. It was reported that the incident happened during a raid operation between them in an area.,2022-09-12T23:00:00.000Z,Jibularam Area,30,"political issue, religious issue",Daily Trust (30 ),Marte
"NAF Troops vs Boko Haram, Borno",Several Boko Haram terrorist fighters were killed by the NAF aircraft component of Operation Hadin Kai. It was reported that the Troops neutralized the bandits who were moving in 2 vehicles.,2022-09-12T23:00:00.000Z,Kangarwa Area,35,"political issue, religious issue",Daily Trust (35 ),Kukawa
"Banditry, Niger","80-year-old District Head of Dusai, Alhaji Sani Mahoro, his son and another villager were killed by kidnappers. Alhaji Sani and his son were kidnapped from their residence before they were killed.",2022-09-11T23:00:00.000Z,Dusai in Gulbin Boka ward,3,crime,Daily Trust (3 ),Mariga
"Army vs Bandits, Kaduna",Some bandits were killed when troops of the Nigerian Army embarked on a clearance operation. It was reported that the troops also rescued about 10 kidnap victims.,2022-09-10T23:00:00.000Z,Daban Lawal Kwalba area,10,crime,"Daily Trust (10 ) , Vanguard (10 ) , The Punch (10 )",Igabi
"Army vs Boko Haram, Borno",Troops of Operation Hadin Kai neutralized 7 Boko Haram and Islamic State in West Africa Province (ISWAP) terrorists. The terrorists were ambushed when they planning to go to the market.,2022-09-10T23:00:00.000Z,Daula Market,7,"political issue, religious issue",The Guardian (7 ),Bama
"Army vs Bandits, Kaduna",Some bandits were killed when troops of the Nigerian Army on a clearance operation. It was reported that the troops also rescued about 10 kidnap victims.,2022-09-10T23:00:00.000Z,"Apewohe area, Kangon Kadi area,",10,crime,"Independent (10 ) , Daily Trust (10 ) , Other newpapers 1 (10 )",Chikun
"JTF vs Bandits, Katsina","9 bandits, including their leader identified as Solar, were killed when they attacked a village. It was reported that the bandits were shot dead by members of the Civilian Joint Task Force (CJTF).",2022-09-10T23:00:00.000Z,Batsari,8,crime,"The Guardian (9 ) , The Punch (9 ) , Daily Trust (6 ) , The Nation (9 ) , Other newspaper 3 (9 )",Batsari
"Army vs Boko Haram, Borno",The Nigerian Air Force (NAF) decimated several members of the Boko Haram group when the Air Force jets struck at the enclave of the terrorists. It was reported that the structures of the terrorists were also destroyed during the attack.,2022-09-09T23:00:00.000Z,Abdallari,10,"political issue, religious issue","The Nation (10 ) , Daily Trust (10 ) , The Punch (10 )",Maiduguri
"Army vs Boko Haram, Borno",Operatives of the Nigerian Air Force (NAF) decimated several members of the Boko Haram group. The incident happened when Nigerian Air Force aircraft struck a target identified as health facility used by the terrorists. It is assumed that about 10 terrorists were killed.,2022-09-08T23:00:00.000Z,"Somalia, Sambisa Forest area",10,"religious issue, political issue",The Nation (10 ),Gwoza
"Air Force vs Boko Haram, Borno",Operatives of the Nigerian Air Force killed about 40 member of the terrorist group. The incident happened during a clearance operation.,2022-09-07T23:00:00.000Z,Ngala,40,"religious issue, political issue","Daily Trust (40 ) , The Punch (40 )",Ngala
"Air Force vs Bandits, Niger","Operatives of the Nigerian Air Force killed some terrorists during clearance operation. Due to the nature of the story, it is assumed that about 10 bandits were killed.",2022-09-07T23:00:00.000Z,Gaude,10,crime,"Daily Trust (10 ) , The Punch (10 )",Shiroro
"Army vs Boko Haram, Borno",Troops of the Nigerian Army decimated 52 members of the Boko Haram group during a clearance operation.,2022-09-07T23:00:00.000Z,Bama,52,"religious issue, political issue","Daily Trust (52 ) , The Punch (52 )",Bama
"Army vs Boko Haram, Katsina",10 terrorists were killed in an ambush by the troops of Operation Hadarin Daji. It was reported that the incident happened when the troops led an operation to arrest terrorists and other criminals in their hideout.,2022-09-06T23:00:00.000Z,Katsina Area,10,"political issue, religious issue",Other newpapers 1 (10 ),Katsina LGA
"Leadership Tussle, Delta",1 person was killed and 3 others were injured in a clash by some gunmen. It was reported that the deceased was on a bus when some gunmen opened fire on him and fled. It was also reported that the cause of the crisis was a leadership tussle over sand dredging in the community.,2022-09-05T23:00:00.000Z,Mgbidi Community,1,"political issue, land issue","Nigerian Tribune (1 ) , Other newpapers 1 (1 )",Isoko south
